dates,coin,date,prices,market_caps,total_vol
2021-12-31,bitcoin,1640995200000.0,46319.65108805251,876192941903.0961,25895349604.886154
2022-01-01,bitcoin,1641081600000.0,47816.07767640849,904551946917.3206,18904585811.03402
2022-01-02,bitcoin,1641168000000.0,47387.212167697246,897536090320.9355,33756128241.98571
2022-01-03,bitcoin,1641254400000.0,46531.140860530526,880330191985.1965,21890019531.577713
2022-01-04,bitcoin,1641340800000.0,45938.02427172366,876242689666.1957,24895990583.663242
2022-01-05,bitcoin,1641427200000.0,43647.147508068054,827723202715.1049,31837641246.01787
2022-01-06,bitcoin,1641513600000.0,43216.45867693359,819522879407.0583,26366602396.811768
2022-01-07,bitcoin,1641600000000.0,41527.197042644846,787735561341.1113,79685254648.07628
2022-01-08,bitcoin,1641686400000.0,41756.66232397826,792892599975.9554,23337017232.770664
2022-01-09,bitcoin,1641772800000.0,41862.3609856517,791648558214.5575,18016718173.608612
2022-01-10,bitcoin,1641859200000.0,41869.85905559219,792407724467.5966,27984634062.049942
2022-01-11,bitcoin,1641945600000.0,42777.211020482355,809621515508.4065,22813557397.82151
2022-01-12,bitcoin,1642032000000.0,43981.87732717414,832460077955.3481,28250302540.221024
2022-01-13,bitcoin,1642118400000.0,42608.41001195019,806510860231.8285,43905745871.292786
2022-01-14,bitcoin,1642204800000.0,43120.85451108056,816129314317.4397,20238314434.86153
2022-01-15,bitcoin,1642291200000.0,43226.65026980921,816800318526.6782,14651008624.734596
2022-01-16,bitcoin,1642377600000.0,43119.79214308028,816325578941.135,14452346388.550371
2022-01-17,bitcoin,1642464000000.0,42298.341116872325,800822650383.9624,17694929625.845875
2022-01-18,bitcoin,1642550400000.0,42395.45879157343,803962100417.9756,18897950050.285973
2022-01-19,bitcoin,1642636800000.0,41749.55143098559,790507925308.7825,19626113309.554142
2022-01-20,bitcoin,1642723200000.0,40707.6824143097,774235809673.4731,20930163211.171124
2022-01-21,bitcoin,1642809600000.0,36508.799789830824,692855029162.9379,38296960033.31628
2022-01-22,bitcoin,1642896000000.0,35180.435462830384,666220701468.4846,35517336417.257744
2022-01-23,bitcoin,1642982400000.0,36306.409440464704,687575973800.0704,22865032968.608204
2022-01-24,bitcoin,1643068800000.0,36774.00714224005,696465421899.37,36385158448.60688
2022-01-25,bitcoin,1643155200000.0,36988.928510667356,700571452648.8236,46168918584.85349
2022-01-26,bitcoin,1643241600000.0,36870.440166930995,700165819656.2855,26756873749.744743
2022-01-27,bitcoin,1643328000000.0,37276.839558174994,702311456032.8538,22057410457.280827
2022-01-28,bitcoin,1643414400000.0,37852.57902803263,717026944842.8334,19214103304.052933
2022-01-29,bitcoin,1643500800000.0,38232.17873217708,722829009646.1814,14178650231.62196
2022-01-30,bitcoin,1643587200000.0,37983.151499406464,719570142321.8397,11807185113.633108
2022-01-31,bitcoin,1643673600000.0,38555.53446121157,727905398095.9747,17731563487.283978
2022-02-01,bitcoin,1643760000000.0,38835.69494322237,736102274236.6057,17109120250.158987
2022-02-02,bitcoin,1643846400000.0,37000.98249864199,700645616423.8325,16709908527.231106
2022-02-03,bitcoin,1643932800000.0,37101.351593780935,703003347951.7092,16136299994.837618
